id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	always_hide	hide_tip	answer_width	random_group	em_validation_q	em_validation_q_tip
		S		language		en													
		S		format		G													
		S		anonymized		Y													
		S		savetimings		Y													
		S		datestamp		N													
		S		ipaddr		N													
		S		refurl		N													
		S		usecookie		Y													
		S		allowsave		N													
		S		allowprev		Y													
		S		listpublic		N													
		S		showwelcome		N													
		S		showprogress		Y													
		SL		surveyls_title		Evaluating Span Explanations for Inappropriate Arguments		en											
		SL		surveyls_description		A blinded human evaluation of localized evidence for argument inappropriateness.		en											
		SL		surveyls_welcometext				en											
		SL		surveyls_endtext		<h3>Thank you for participating.</h3><p>Your answers have been recorded.</p>		en											
		SL		surveyls_url				en											
		SL		surveyls_urldescription				en											
		SL		surveyls_dateformat		1		en											
		SL		surveyls_numberformat		0		en											
1		G		Consent	1	Study information and consent		en											
2		Q	L	CONSENT	1	"<h2>Study information and consent</h2>
<p><strong>Content warning:</strong> Some arguments may contain insulting, aggressive, offensive, or otherwise inappropriate language.</p>
<ul>
  <li>Participation is voluntary and you may stop at any time.</li>
  <li>No name, email address, IP address, or referrer URL is requested or stored.</li>
  <li>The survey stores your ratings and, if enabled, page-level response times.</li>
  <li>The results will be used for a master's thesis.</li>
</ul>
<p>By selecting “I consent”, you confirm that you are at least 18 years old and agree to participate.</p>"		en		Y				0	1				
2		A	0	Y		I consent to participate		en											
2		A	0	N		I do not consent		en											
3		G		Declined	CONSENT == 'N'	Participation declined		en											
4		Q	X	DECLINEINFO	1	<p>You chose not to participate. No study ratings will be collected. You may now close this page.</p>		en		N				0	1				
5		G		StudyOverview	CONSENT == 'Y'	Why this study is being conducted		en											
6		Q	X	STUDYOVERVIEW	1	"<h2>Why am I conducting this study?</h2>
<p>This survey is part of a master's thesis on <strong>explaining automatic classifications of argumentative text</strong>.</p>
<p>An automatic classifier can decide that an entire argument is inappropriate, but this document-level decision does not tell us <strong>which specific passages provide the reason for that classification</strong>. The thesis therefore compares several computational methods that try to identify and highlight such passages.</p>
<p>During this survey, you will see different highlighted versions of the same arguments. The methods that produced the highlights are intentionally hidden. Your task is to evaluate <strong>how well the highlighted passages capture the possible reasons for inappropriateness</strong>.</p>
<div style=""border:1px solid #b2ddff;border-left:5px solid #2e90fa;border-radius:7px;padding:13px 15px;background:#eff8ff;margin:18px 0;"">
  <div style=""font-weight:700;margin-bottom:5px;"">How your answers will be used</div>
  <div>Your ratings and rankings will be analyzed in aggregated form to compare the different localization methods. They are used only for the scientific evaluation in the master's thesis. The survey is not a test of you, and there are no personally identifiable answers or method names shown to you.</div>
</div>
<p>The next page briefly explains what <em>inappropriateness</em> means in this study and what perspective to take when evaluating the highlighted passages.</p>"		en		N				0	1				
7		G		Introduction	CONSENT == 'Y'	Understanding inappropriateness		en											
8		Q	X	INTROTEXT	1	"<h2>What does “inappropriate” mean in this study?</h2>
<p>This study follows the concept of <strong>inappropriateness in argumentation</strong> introduced by
<a href=""https://aclanthology.org/2023.acl-long.238/"" target=""_blank"" rel=""noopener noreferrer""><strong>Ziegenbein et al. (2023)</strong></a>.
They treat appropriateness as a minimal quality requirement for an argument to be valuable in a debate.
Importantly, an argument can be inappropriate for more reasons than simply containing insults or offensive words.</p>

<p>In light of its <strong>discussion context</strong>, an argument can be considered inappropriate if it exhibits one or more of the following four core types:</p>

<div style=""margin:18px 0 22px 0;"">
  <div style=""text-align:center;background:#f2f4f7;border:1px solid #d0d5dd;border-radius:8px;padding:11px 14px;font-weight:700;font-size:1.08em;margin-bottom:12px;"">
    Inappropriateness
  </div>
  <div style=""display:flex;flex-wrap:wrap;gap:10px;align-items:stretch;"">
    <div style=""flex:1 1 190px;min-width:180px;border:1px solid #f3b5c5;border-top:4px solid #e83e73;border-radius:8px;padding:12px;background:#fff;"">
      <div style=""font-weight:700;margin-bottom:5px;"">Toxic Emotions</div>
      <div style=""font-size:.94em;margin-bottom:7px;"">Emotions are excessively intense or used deceptively in a way that obstructs critical discussion.</div>
      <div style=""font-size:.88em;color:#475467;""><strong>Examples:</strong> Excessive Intensity, Emotional Deception</div>
    </div>
    <div style=""flex:1 1 190px;min-width:180px;border:1px solid #c9c2ff;border-top:4px solid #7a5af8;border-radius:8px;padding:12px;background:#fff;"">
      <div style=""font-weight:700;margin-bottom:5px;"">Missing Commitment</div>
      <div style=""font-size:.94em;margin-bottom:7px;"">The issue is not taken seriously or the author is not open to engaging with opposing arguments on their merits.</div>
      <div style=""font-size:.88em;color:#475467;""><strong>Examples:</strong> Missing Seriousness, Missing Openness</div>
    </div>
    <div style=""flex:1 1 190px;min-width:180px;border:1px solid #ffd19a;border-top:4px solid #f79009;border-radius:8px;padding:12px;background:#fff;"">
      <div style=""font-weight:700;margin-bottom:5px;"">Missing Intelligibility</div>
      <div style=""font-size:.94em;margin-bottom:7px;"">The meaning is unclear or irrelevant to the issue, or the reasoning is difficult to understand.</div>
      <div style=""font-size:.88em;color:#475467;""><strong>Examples:</strong> Unclear Meaning, Missing Relevance, Confusing Reasoning</div>
    </div>
    <div style=""flex:1 1 190px;min-width:180px;border:1px solid #d0d5dd;border-top:4px solid #667085;border-radius:8px;padding:12px;background:#fff;"">
      <div style=""font-weight:700;margin-bottom:5px;"">Other Reasons</div>
      <div style=""font-size:.94em;margin-bottom:7px;"">Other severe language problems can also make an argument inappropriate.</div>
      <div style=""font-size:.88em;color:#475467;""><strong>Examples:</strong> Detrimental Orthography, Reason Unclassified</div>
    </div>
  </div>
  <div style=""font-size:.82em;color:#667085;margin-top:7px;text-align:center;"">
    Simplified representation based on the taxonomy of Ziegenbein et al. (2023), Figure 3.
  </div>
</div>

<div style=""border:1px solid #b2ddff;border-left:5px solid #2e90fa;border-radius:7px;padding:13px 15px;background:#eff8ff;margin:18px 0;"">
  <div style=""font-weight:700;margin-bottom:5px;"">Important perspective for this survey</div>
  <div>
    Judgments of inappropriateness can differ from person to person. The arguments shown in this survey were classified as <strong>inappropriate</strong> in the dataset used by Ziegenbein et al. You may personally judge an individual argument differently, and that is completely possible.
    <br><br>
    For this task, however, please <strong>treat the given inappropriateness label as the starting point</strong>. Instead of deciding whether the label itself is correct, ask: <em>If this argument is considered inappropriate, which parts of the text could reasonably explain why?</em>
    <br><br>
    Always consider the <strong>discussion issue</strong> shown with the argument. Also, do not judge whether you personally agree with the position: agreement with an opinion and appropriateness of how it is expressed are different questions.
  </div>
</div>

<p>You will evaluate highlighted passages on two criteria using a <strong>1–7</strong> scale:</p>
<ul>
  <li><strong>Completeness</strong>: Are all important passages that could explain the argument's inappropriateness covered by the highlights?</li>
  <li><strong>Precision</strong>: Are the highlights restricted to those relevant passages, without including unnecessary text?</li>
</ul>
<p>After rating the shown explanations, you will <strong>rank them from best to worst</strong> according to how well they localize the reasons for inappropriateness overall.</p>

<p style=""font-size:.9em;color:#475467;"">
  <strong>Further reading:</strong>
  <a href=""https://aclanthology.org/2023.acl-long.238/"" target=""_blank"" rel=""noopener noreferrer"">Ziegenbein et al. (2023): <em>Modeling Appropriate Language in Argumentation</em>, ACL 2023</a>.
</p>"		en		N				0	1				
9		Q	L	CHECK1	1	Which perspective should you take in the following evaluation?		en		Y				0	1				
9		A	0	A		First decide whether I personally consider the argument inappropriate; only then evaluate the highlights		en											
9		A	0	B		Treat the argument as inappropriate for this task and evaluate how completely and precisely the highlights identify possible reasons		en											
9		A	0	C		Evaluate whether I agree with the opinion expressed in the argument		en											
10		G		Practice	CONSENT == 'Y'	Short practice example		en											
11		Q	X	PRACTICETEXT	1	"<div style=""border:1px solid #d0d5dd;border-left:5px solid #2e90fa;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Issue</div>
  <div>Should public transport be free?</div>
</div><div style=""border:1px solid #d0d5dd;border-left:5px solid #667085;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Argument</div>
  <div>Only a complete idiot could oppose this policy. Anyone who disagrees is clearly selfish. Free transport would also reduce congestion.</div>
</div><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Explanation A</div>
  <div>Only a <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">complete idiot</span> could oppose this policy. Anyone who disagrees is clearly selfish. Free transport would also reduce congestion.</div>
</div><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Explanation B</div>
  <div><span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">Only a complete idiot could oppose this policy. Anyone who disagrees is clearly selfish.</span> Free transport would also reduce congestion.</div>
</div><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Explanation C</div>
  <div>Only a <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">complete idiot</span> could oppose this policy. Anyone who disagrees is <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">clearly selfish</span>. Free transport would also reduce congestion.</div>
</div>
<p><strong>Explanation A</strong> is precise, but incomplete because it misses a second potentially problematic phrase.</p>
<p><strong>Explanation B</strong> is more complete, but less precise because it highlights more surrounding text than necessary.</p>
<p><strong>Explanation C</strong> combines high completeness with high precision by covering both problematic phrases without much extra text.</p>
"		en		N				0	1				
12		Q	L	PRACTICECHECK	1	Which explanation best combines completeness and precision?		en		Y				0	1				
12		A	0	A		Explanation A		en											
12		A	0	B		Explanation B		en											
12		A	0	C		Explanation C		en											
13		G		Randomization	CONSENT == 'Y'	Internal randomization		en											
14		Q	*	VERSION	1	{if(is_empty(VERSION.NAOK), rand(1,7), VERSION.NAOK)}		en		N				1	1				
15		G		P01V1	CONSENT == 'Y' && VERSION == 1	Argument 1 of 7		en											
16		Q	X	A07V1I	1	"<h2>Argument 1 of 7</h2><div style=""border:1px solid #d0d5dd;border-left:5px solid #2e90fa;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Discussion issue</div>
  <div>How can the us continue to allow people to go without food &amp; health insurance? how to fix?:</div>
</div><div style=""border:1px solid #d0d5dd;border-left:5px solid #667085;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Argument</div>
  <div>Because it would be thoroughly unfair to force people to pay for things they can&#x27;t afford. Get real. &quot;Allow&quot; connotes freedom, which is all a government should give you. And that same &quot;allow&quot; is what permits anyone to make whatever they want out of themselves, purchase whatever they want. You&#x27;d have a gripe if you could phrase the question &quot;How can the US FORBID people from buying food or health insurance,&quot; but you can&#x27;t.</div>
</div>
<p style=""margin-top:12px;""><strong>Reminder:</strong> For this task, treat the argument as inappropriate and evaluate how well each explanation identifies passages that could reasonably explain that label.</p>
"		en		N				0	1				
17		Q	F	A07V1A	1	"<h4 style=""margin-bottom:8px;"">Explanation A</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div>Because it would be thoroughly unfair to force people to pay for things they can&#x27;t afford. <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">Get real</span>. &quot;Allow&quot; connotes freedom, which is all a government should give you. And that same &quot;allow&quot; is what permits anyone to make whatever they want out of themselves, purchase whatever they want. <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">You&#x27;d have a gripe</span> if you could phrase the question &quot;How can the US FORBID people from buying food or health insurance,&quot; but you can&#x27;t.</div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
18		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
19		SQ	0	PRE	1	Precision: How precisely do the highlighted spans focus on those parts without including unnecessary or unrelated text?		en											
17		A	0	1	1	1 – Very low		en											
17		A	0	2	2	2		en											
17		A	0	3	3	3		en											
17		A	0	4	4	4 – Moderate		en											
17		A	0	5	5	5		en											
17		A	0	6	6	6		en											
17		A	0	7	7	7 – Very high		en											
20		Q	F	A07V1B	1	"<h4 style=""margin-bottom:8px;"">Explanation B</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div>Because it <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">would be thoroughly unfair to force</span> people to pay for things they can&#x27;t afford. <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">Get real. &quot;Allow&quot; connotes freedom</span>, which is all a government should give you. And <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">that same &quot;allow&quot; is what</span> permits anyone to make whatever they want out <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">of themselves, purchase whatever they</span> want. You&#x27;d have a gripe if <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">you could phrase the question</span> &quot;How can <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">the US FORBID people from buying food or health insurance,&quot; but you</span> can&#x27;t.</div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
21		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
22		SQ	0	PRE	1	Precision: How precisely do the highlighted spans focus on those parts without including unnecessary or unrelated text?		en											
20		A	0	1	1	1 – Very low		en											
20		A	0	2	2	2		en											
20		A	0	3	3	3		en											
20		A	0	4	4	4 – Moderate		en											
20		A	0	5	5	5		en											
20		A	0	6	6	6		en											
20		A	0	7	7	7 – Very high		en											
23		Q	F	A07V1C	1	"<h4 style=""margin-bottom:8px;"">Explanation C</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div><span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">Because it would be thoroughly unfair to force people to</span> pay for things they <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">can&#x27;t afford. Get real</span>. &quot;Allow&quot; connotes freedom, <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">which</span> is all a government should give <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">you. And that same</span> &quot;allow&quot; is what permits anyone to make <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">whatever</span> they want <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">out</span> of themselves, purchase whatever they want. <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">You&#x27;d</span> have a gripe if you <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">could phrase the question</span> &quot;How can the US FORBID people from buying food or <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">health insurance</span>,&quot; but you <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">can&#x27;t</span>.</div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
24		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
25		SQ	0	PRE	1	Precision: How precisely do the highlighted spans focus on those parts without including unnecessary or unrelated text?		en											
23		A	0	1	1	1 – Very low		en											
23		A	0	2	2	2		en											
23		A	0	3	3	3		en											
23		A	0	4	4	4 – Moderate		en											
23		A	0	5	5	5		en											
23		A	0	6	6	6		en											
23		A	0	7	7	7 – Very high		en											
26		Q	F	A07V1D	1	"<h4 style=""margin-bottom:8px;"">Explanation D</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div><span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">Because it would be thoroughly unfair to force people</span> to pay <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">for things they</span> can&#x27;t <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">afford. Get real</span>. &quot;Allow&quot; connotes freedom, which <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">is all</span> a <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">government should</span> give <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">you</span>. <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">And that</span> same &quot;allow&quot; <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">is</span> what permits anyone to make whatever they <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">want out of themselves, purchase</span> whatever they want. <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">You&#x27;d</span> have <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">a gripe if you</span> could phrase the question &quot;How <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">can the US</span> FORBID <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">people from</span> buying <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">food</span> or <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">health insurance</span>,&quot; but you can&#x27;t.</div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
27		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
28		SQ	0	PRE	1	Precision: How precisely do the highlighted spans focus on those parts without including unnecessary or unrelated text?		en											
26		A	0	1	1	1 – Very low		en											
26		A	0	2	2	2		en											
26		A	0	3	3	3		en											
26		A	0	4	4	4 – Moderate		en											
26		A	0	5	5	5		en											
26		A	0	6	6	6		en											
26		A	0	7	7	7 – Very high		en											
29		Q	R	A07V1R	1	Rank the four explanations from best to worst according to how well they localize the reasons for this argument's inappropriateness overall. Consider both completeness and precision.		en		Y				0	1				
29		A	0	A		Explanation A		en											
29		A	0	B		Explanation B		en											
29		A	0	C		Explanation C		en											
29		A	0	D		Explanation D		en											
30		Q	T	A07V1CMT	1	Optional: Briefly mention anything that influenced your ranking or was difficult to evaluate.		en		N				0	1				
31		G		P02V1	CONSENT == 'Y' && VERSION == 1	Argument 2 of 7		en											
32		Q	X	A02V1I	1	"<h2>Argument 2 of 7</h2><div style=""border:1px solid #d0d5dd;border-left:5px solid #2e90fa;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Discussion issue</div>
  <div>Should physical education be mandatory in schools:</div>
</div><div style=""border:1px solid #d0d5dd;border-left:5px solid #667085;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Argument</div>
  <div>yes! our kids are so out of shape for the most part and eat too much junk</div>
</div>
<p style=""margin-top:12px;""><strong>Reminder:</strong> For this task, treat the argument as inappropriate and evaluate how well each explanation identifies passages that could reasonably explain that label.</p>
"		en		N				0	1				
33		Q	F	A02V1A	1	"<h4 style=""margin-bottom:8px;"">Explanation A</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div><span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">yes! our kids are so out</span> of shape for <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">the most</span> part and eat too much <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">junk</span></div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
34		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
35		SQ	0	PRE	1	Precision: How precisely do the highlighted spans focus on those parts without including unnecessary or unrelated text?		en											
33		A	0	1	1	1 – Very low		en											
33		A	0	2	2	2		en											
33		A	0	3	3	3		en											
33		A	0	4	4	4 – Moderate		en											
33		A	0	5	5	5		en											
33		A	0	6	6	6		en											
33		A	0	7	7	7 – Very high		en											
36		Q	F	A02V1B	1	"<h4 style=""margin-bottom:8px;"">Explanation B</h4><div style=""border:1px solid #d0d5dd;border-left:5px solid #d4a72c;border-radius:7px;
            padding:15px 17px;margin:12px 0;background:#ffffff;line-height:1.65;"">
  <div style=""font-weight:700;margin-bottom:7px;"">Highlighted argument</div>
  <div><span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">yes! our kids are</span> so out <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">of</span> shape <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">for the</span> most part <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">and eat</span> too much <span style=""background-color:#fff1a8;padding:1px 3px;border-radius:3px;font-weight:600;"">junk</span></div>
</div><p style=""margin-top:10px;"">Rate this explanation on both criteria.</p>"		en		Y				0	1				
37		SQ	0	COM	1	Completeness: How completely do the highlighted spans cover the parts of the argument that could reasonably explain why it is inappropriate?		en											
